Epoch 	Test Acc. 	Train Acc.
1:	0.8833	0.8986666666666666
2:	0.9016	0.9268333333333333
3:	0.9114	0.9403333333333334
4:	0.9112	0.947
5:	0.918	0.9556666666666667
6:	0.9188	0.96
7:	0.9209	0.9646666666666667
8:	0.9177	0.9666666666666667
9:	0.9236	0.9735
10:	0.9247	0.9755
11:	0.9242	0.9763333333333334
12:	0.9258	0.9811666666666666
13:	0.9263	0.9831666666666666
14:	0.9259	0.9866666666666667
15:	0.924	0.9883333333333333
16:	0.9249	0.9891666666666666
17:	0.9243	0.9921666666666666
18:	0.9218	0.9928333333333333
19:	0.9239	0.9935
20:	0.9226	0.9935
21:	0.9238	0.995
22:	0.9255	0.9975
23:	0.9235	0.9981666666666666
24:	0.9212	0.9986666666666667
25:	0.924	0.9985
26:	0.9248	0.9976666666666667
27:	0.9238	0.9991666666666666
28:	0.9249	0.9995
29:	0.9218	0.9981666666666666
30:	0.9237	0.9996666666666667
31:	0.9228	0.9996666666666667
32:	0.9236	0.9993333333333333
33:	0.925	0.9998333333333334
34:	0.924	0.9998333333333334
35:	0.9251	1.0
36:	0.9241	1.0
37:	0.925	1.0
38:	0.9242	1.0
39:	0.9241	1.0
40:	0.9247	1.0
41:	0.9251	1.0
42:	0.9248	1.0
43:	0.9249	1.0
44:	0.9252	1.0
45:	0.9244	1.0
46:	0.9241	1.0
47:	0.9219	1.0
48:	0.923	1.0
49:	0.9235	1.0
50:	0.9231	1.0
