Epoch 	Test Acc. 	Train Acc.
1:	0.7607	0.7813333333333333
2:	0.7977	0.8235
3:	0.7869	0.8171666666666667
4:	0.8175	0.8476666666666667
5:	0.8229	0.8568333333333333
6:	0.8242	0.861
7:	0.8281	0.875
8:	0.8254	0.879
9:	0.815	0.8651666666666666
10:	0.8266	0.8858333333333334
11:	0.8356	0.8943333333333333
12:	0.8315	0.8965
13:	0.827	0.8941666666666667
14:	0.8178	0.8865
15:	0.8318	0.8941666666666667
16:	0.8344	0.9031666666666667
17:	0.8349	0.9045
18:	0.8347	0.9133333333333333
19:	0.8326	0.9075
20:	0.8367	0.9161666666666667
21:	0.8426	0.9173333333333333
22:	0.8378	0.9213333333333333
23:	0.8303	0.9143333333333333
24:	0.8291	0.9171666666666667
25:	0.8356	0.9201666666666667
26:	0.8376	0.9286666666666666
27:	0.8279	0.926
28:	0.8381	0.935
29:	0.8351	0.9341666666666667
30:	0.8399	0.9403333333333334
31:	0.8317	0.9305
32:	0.8338	0.9245
33:	0.8303	0.9356666666666666
34:	0.8362	0.9416666666666667
35:	0.8349	0.9386666666666666
36:	0.8337	0.9456666666666667
37:	0.8382	0.9431666666666667
38:	0.837	0.9521666666666667
39:	0.8248	0.9345
40:	0.8278	0.9493333333333334
41:	0.8308	0.9495
42:	0.8369	0.9576666666666667
43:	0.8357	0.9583333333333334
44:	0.8365	0.9553333333333334
45:	0.8301	0.9536666666666667
46:	0.8264	0.945
47:	0.8324	0.9533333333333334
48:	0.8361	0.9591666666666666
49:	0.837	0.9658333333333333
50:	0.8347	0.9651666666666666
